SKU,Product title,Product description,Price,Standardized Product Type,Product type,Tag,Published,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Collection
Anker-A1363H11-PowerCore-Select-20000---UN,Anker A1363H11 PowerCore Select 20000 - UN,"Small Size, Big Power",179,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/487/thumbnail/4.jpg,1,Image,,Anker A1363H11 PowerCore Select 20000 - UN,"Small Size, Big Power",electronics,,,,,,,,,,,,,,,,179,,,active,Ear Phones
Anker-A1363H11-PowerCore-Select-20000---UN,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/487/thumbnail/3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker-A1363H11-PowerCore-Select-20000---UN,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/487/thumbnail/7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker-A1363H11-PowerCore-Select-20000---UN,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/487/thumbnail/1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker-A1363H11-PowerCore-Select-20000---UN,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/487/thumbnail/6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker-A1363H11-PowerCore-Select-20000---UN,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/487/thumbnail/5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2046K11-POWERPORT-ATOM-III-65W-SLIM-BLACK,ANKER A2046K11 POWERPORT ATOM III 65W SLIM BLACK,Anker USB C Charger,199,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1612/thumbnail/46.jpg,1,Image,,ANKER A2046K11 POWERPORT ATOM III 65W SLIM BLACK,Anker USB C Charger,electronics,,,,,,,,,,,,,,,,199,,,active,Chargers
ANKER-A2046K11-POWERPORT-ATOM-III-65W-SLIM-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1612/thumbnail/23.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2046K11-POWERPORT-ATOM-III-65W-SLIM-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1612/thumbnail/3A3145H12_1-17.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2046K11-POWERPORT-ATOM-III-65W-SLIM-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1612/thumbnail/02.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2322K21-POWERPORT-ATOM-III-(TWO-PORTS)-WHITE,ANKER A2322K21 POWERPORT ATOM III (TWO PORTS) WHITE,Charges 2 devices simultaneously. Compact design,179,1267,Variable product,Parent,1,color,WHITE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1623/thumbnail/3image (2).png,1,Image,,ANKER A2322K21 POWERPORT ATOM III (TWO PORTS) WHITE,Charges 2 devices simultaneously. Compact design,electronics,,,,,,,,,,,,,,,,179,,,active,Power banks
ANKER-A2322K21-POWERPORT-ATOM-III-(TWO-PORTS)-WHITE,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1623/thumbnail/4image.png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2322K21-POWERPORT-ATOM-III-(TWO-PORTS)-WHITE,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1623/thumbnail/0download.png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2322K21-POWERPORT-ATOM-III-(TWO-PORTS)-WHITE,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1623/thumbnail/2image (1).png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2543H21-POWERWAVE-MAGNETIC-2-IN-1-STAND-WHITE,ANKER A2543H21 POWERWAVE MAGNETIC 2-IN-1 STAND WHITE,Snap-and-Secure Wireless Charging Stand.,199,1267,Variable product,Parent,1,color,WHITE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1670/thumbnail/2Anker-PowerWave-Magnetic-2-in-1-Wireless-Charging-Stand-Lite-A2543H21-White-7.jpg,1,Image,,ANKER A2543H21 POWERWAVE MAGNETIC 2-IN-1 STAND WHITE,Snap-and-Secure Wireless Charging Stand.,electronics,,,,,,,,,,,,,,,,199,,,active,Power banks
ANKER-A2543H21-POWERWAVE-MAGNETIC-2-IN-1-STAND-WHITE,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1670/thumbnail/3Anker-PowerWave-Magnetic-2-in-1-Wireless-Charging-Stand-Lite-A2543H21-White-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2543H21-POWERWAVE-MAGNETIC-2-IN-1-STAND-WHITE,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1670/thumbnail/0Anker-PowerWave-Magnetic-2-in-1-Wireless-Charging-Stand-Lite-A2543H21-White-Featured.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2566H41-POWERWAVE-SELECT+-MAGNETIC-PAD-SILVER,ANKER A2566H41 POWERWAVE SELECT+ MAGNETIC PAD SILVER,ANKER POWERWAVE SELECT+ MAGNETIC PAD SILVER,129,1267,Variable product,Parent,1,color,SILVER,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1219/thumbnail/00q5dbsq618a71.png,1,Image,,ANKER A2566H41 POWERWAVE SELECT+ MAGNETIC PAD SILVER,ANKER POWERWAVE SELECT+ MAGNETIC PAD SILVER,electronics,,,,,,,,,,,,,,,,129,,,active,Power banks
ANKER-A25A0H11-MAGNETIC-FINGER-GRIP,ANKER A25A0H11 MAGNETIC FINGER GRIP,Magnetic Phone Ring Holder,69,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1668/thumbnail/4RIBGFF.png,1,Image,,ANKER A25A0H11 MAGNETIC FINGER GRIP,Magnetic Phone Ring Holder,electronics,,,,,,,,,,,,,,,,69,,,active,Chargers
ANKER-A25A0H11-MAGNETIC-FINGER-GRIP,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1668/thumbnail/0download RING.png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A25A0H11-MAGNETIC-FINGER-GRIP,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1668/thumbnail/2imageGGGHJ.png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A25A0H11-MAGNETIC-FINGER-GRIP,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1668/thumbnail/3imageRINGG.png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2632K21-POWERPORT-III-20W-WHITE,ANKER A2632K21 POWERPORT III 20W WHITE,Wall Charger,59,1267,Variable product,Parent,1,color,WHITE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1619/thumbnail/0anker-powerpport-3-charger-1.png,1,Image,,ANKER A2632K21 POWERPORT III 20W WHITE,Wall Charger,electronics,,,,,,,,,,,,,,,,59,,,active,Chargers
ANKER-A2725H11-POWERDRIVE+-III-DUO-ORIGINAL-GRAY,ANKER A2725H11 POWERDRIVE+ III DUO ORIGINAL GRAY,Fast Car Charger,129,1267,Variable product,Parent,1,color,GREY,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1622/thumbnail/26_108_8.jpg,1,Image,,ANKER A2725H11 POWERDRIVE+ III DUO ORIGINAL GRAY,Fast Car Charger,electronics,,,,,,,,,,,,,,,,129,,,active,Chargers
ANKER-A2725H11-POWERDRIVE+-III-DUO-ORIGINAL-GRAY,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1622/thumbnail/43_313_28.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2725H11-POWERDRIVE+-III-DUO-ORIGINAL-GRAY,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1622/thumbnail/0a2725h11-en.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2725H11-POWERDRIVE+-III-DUO-ORIGINAL-GRAY,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1622/thumbnail/35_131_24.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2732HF1-POWERDRIVE-PD? 2-GREY,ANKER A2732HF1 POWERDRIVE PD? 2 GREY,Car Charger,99,1267,Variable product,Parent,1,color,GREY,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1621/thumbnail/0Anker-PowerDrive-PD-2-35W-Black-4.jpg,1,Image,,ANKER A2732HF1 POWERDRIVE PD? 2 GREY,Car Charger,electronics,,,,,,,,,,,,,,,,99,,,active,Chargers
ANKER-A2732HF1-POWERDRIVE-PD?Â 2-GREY,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1621/thumbnail/3A2702011_TD05_V1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A2732HF1-POWERDRIVE-PD?Â 2-GREY,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1621/thumbnail/2A2702011_ND06_V1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3027031-SOUNDCORE-LIFE-Q35-WIRELESS-HEADSET-BLUE,ANKER A3027031 SOUNDCORE LIFE Q35 WIRELESS HEADSET BLUE,Pair with 2 Devices,599,1267,Variable product,Parent,1,color,BLUE,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1681/thumbnail/0download.png,1,Image,,ANKER A3027031 SOUNDCORE LIFE Q35 WIRELESS HEADSET BLUE,Pair with 2 Devices,electronics,,,,,,,,,,,,,,,,599,,,active,Miscellaneous
ANKER-A3027031-SOUNDCORE-LIFE-Q35-WIRELESS-HEADSET-BLUE,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1681/thumbnail/2image.png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3027031-SOUNDCORE-LIFE-Q35-WIRELESS-HEADSET-BLUE,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1681/thumbnail/3image (1).png,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3045H11-SOUNDCORE-LIFE-Q20+ -WIRELESS-HEADSET-BLACK,ANKER A3045H11 SOUNDCORE LIFE Q20+  WIRELESS HEADSET BLACK,Incredible Sound,299,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1633/thumbnail/061brmofvrvs._ac_sl1500_.jpg,1,Image,,ANKER A3045H11 SOUNDCORE LIFE Q20+  WIRELESS HEADSET BLACK,Incredible Sound,electronics,,,,,,,,,,,,,,,,299,,,active,Chargers
ANKER-A3045H11-SOUNDCORE-LIFE-Q20+Â -WIRELESS-HEADSET-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1633/thumbnail/471f1yn7qzes._ac_sl1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3045H11-SOUNDCORE-LIFE-Q20+Â -WIRELESS-HEADSET-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1633/thumbnail/371dlchkfmos._ac_sl1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3045H11-SOUNDCORE-LIFE-Q20+Â -WIRELESS-HEADSET-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1633/thumbnail/271bp5tzwk3s._ac_sl1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3167012-SOUNDCORE-FLARE-MINI-BLUETOOTH-SPEAKER(W/O-WIFI)-BLACK,ANKER A3167012 SOUNDCORE FLARE MINI BLUETOOTH SPEAKER(W/O WIFI) BLACK,Wireless · Bluetooth · 2600mAh · 2 x 5W (Full Range) · 360° Sound | Beat-Driven Lightshow | IPX7 Waterproof | 12-Hour Battery Life | Wireless Stereo.,199,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1225/thumbnail/4713Q7Dce5VL._AC_SL1500_.jpg,1,Image,,ANKER A3167012 SOUNDCORE FLARE MINI BLUETOOTH SPEAKER(W/O WIFI) BLACK,Wireless · Bluetooth · 2600mAh · 2 x 5W (Full Range) · 360° Sound | Beat-Driven Lightshow | IPX7 Waterproof | 12-Hour Battery Life | Wireless Stereo.,electronics,,,,,,,,,,,,,,,,199,,,active,Chargers
ANKER-A3167012-SOUNDCORE-FLARE-MINI-BLUETOOTH-SPEAKER(W/O-WIFI)-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1225/thumbnail/181Aq+TLkomL._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3167012-SOUNDCORE-FLARE-MINI-BLUETOOTH-SPEAKER(W/O-WIFI)-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1225/thumbnail/2711kOD+kA3L._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3167012-SOUNDCORE-FLARE-MINI-BLUETOOTH-SPEAKER(W/O-WIFI)-BLACK,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1225/thumbnail/371iR07z8giL._AC_SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKER-A3213Y11-SOUNDCORE-LIFE-U2-I-R500-WIRELESS-HEADSET,ANKER A3213Y11 SOUNDCORE LIFE U2 I R500 WIRELESS HEADSET,Soundcore Life U2i is designed for long-time calls,99,1267,Variable product,Parent,1,color,BLACK,size,,,,Shopify,20,deny,manual,,,1,1,,http://electromateqatar.com/products/1632/thumbnail/31911818-03.jpg,1,Image,,ANKER A3213Y11 SOUNDCORE LIFE U2 I R500 WIRELESS HEADSET,Soundcore Life U2i is designed for long-time calls,electronics,,,,,,,,,,,,,,,,99,,,active,Ear Phones
ANKER-A3213Y11-SOUNDCORE-LIFE-U2-I-R500-WIRELESS-HEADSET,,,,,Variable product,child,,,,,,,,,,,,,,,,,http://electromateqatar.com/products/1632/thumbnail/01911818-01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
